num_bem_pat;num_seq_bem_pat;;CONCILIA«√O;;cod_cta_pat;Custo;Depreci;DescriÁ„o Conta;DescriÁ„o;Data Aquis;Data Calc;Estab;Desc. Estabelecimento;Plaqueta;LocalizaÁ„o;Centro Custo;Un Neg;Data Saldo;Plano CCusto; Valor Imobilizado ; Valor Depreciado ; Valor Amortizado ; Valor Liquido ;Quantidade
8943;0;89430;COMPLEMENTO;89430;132010902;1.3.2.01.09;1.3.2.05.08;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;27/07/2007;27/07/2007;19;Mairinque / SP;8943;MAIRINQUE;1160;0;01/08/2016;TORT2007;251,02;227,81;0;23,21;1
8944;0;89440;COMPLEMENTO;89440;132010902;1.3.2.01.09;1.3.2.05.08;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;27/07/2007;27/07/2007;19;Mairinque / SP;8944;MAIRINQUE;1160;0;01/08/2016;TORT2007;251;227,81;0;23,19;1
8945;0;89450;COMPLEMENTO;89450;132010902;1.3.2.01.09;1.3.2.05.08;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;27/07/2007;27/07/2007;19;Mairinque / SP;8945;MAIRINQUE;1160;0;01/08/2016;TORT2007;251;227,81;0;23,19;1
8946;0;89460;COMPLEMENTO;89460;132010902;1.3.2.01.09;1.3.2.05.08;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;27/07/2007;27/07/2007;19;Mairinque / SP;8946;MAIRINQUE;1160;0;01/08/2016;TORT2007;251;227,81;0;23,19;1
8947;0;89470;COMPLEMENTO;89470;132010902;1.3.2.01.09;1.3.2.05.08;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA HITACHI 220V 60HZ;27/07/2007;27/07/2007;19;Mairinque / SP;8947;MAIRINQUE;1160;0;01/08/2016;TORT2007;251;227,81;0;23,19;1
9591;0;95910;COMPLEMENTO;95910;132010902;1.3.2.01.09;1.3.2.05.08;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA 220V 60HZ.;01/11/2007;01/11/2007;19;Mairinque / SP;9591;MAIRINQUE;1160;0;01/08/2016;TORT2007;1067,46;934,5;0;132,96;1
9592;0;95920;COMPLEMENTO;95920;132010902;1.3.2.01.09;1.3.2.05.08;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA 220V 60HZ.;01/11/2007;01/11/2007;19;Mairinque / SP;9592;MAIRINQUE;1160;0;01/08/2016;TORT2007;898,41;786,45;0;111,96;1
9599;0;95990;COMPLEMENTO;95990;132010902;1.3.2.01.09;1.3.2.05.08;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA 220 60HZ.;01/11/2007;01/11/2007;19;Mairinque / SP;9599;MAIRINQUE;1160;0;01/08/2016;TORT2007;568,92;497,7;0;71,22;1
9600;0;96000;COMPLEMENTO;96000;132010902;1.3.2.01.09;1.3.2.05.08;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA 220 60HZ.;01/11/2007;01/11/2007;19;Mairinque / SP;9600;MAIRINQUE;1160;0;01/08/2016;TORT2007;568,92;497,7;0;71,22;1
9601;0;96010;COMPLEMENTO;96010;132010902;1.3.2.01.09;1.3.2.05.08;MOVEIS E UTENSILIOS - PROD;UNIDADE EVAPORADORA 220 60HZ.;01/11/2007;01/11/2007;19;Mairinque / SP;9601;MAIRINQUE;1160;0;01/08/2016;TORT2007;240;210;0;30;1
101404;0;1014040;INSTALA«√O;1014040;135012302;1.3.5.01.23;1.3.5.02.23;MAQS.EQUIPS.INC. LEI 11051/04-PR;SISTEMA DE TRANSPORTE PNEUMATICO (PARTE);19/10/2010;19/10/2010;19;Mairinque / SP;101404;ZOOTECNICA;7225;0;01/08/2016;TORT2007;68400,3;27828,58;0;40571,72;1
101404;1;1014041;INSTALA«√O;1014041;135012302;1.3.5.01.23;1.3.5.02.23;MAQS.EQUIPS.INC. LEI 11051/04-PR;SISTEMA DE TRANSPORTE PNEUMATICA (PARTE);19/10/2010;19/10/2010;19;Mairinque / SP;101404;ZOOTECNICA;7225;0;01/08/2016;TORT2007;136800,6;55657,17;0;81143,43;1
101404;14;10140414;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;CONJUNTO DE TUBULACAO DE TRANSPORTE;11/02/2011;11/02/2011;19;Mairinque / SP;101404;ZOOTECNICA;7225;0;01/08/2016;TORT2007;108984,48;39963;0;69021,48;1
101404;15;10140415;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;CONJ.DE VALVULAS/MODULO DE CONTROLE/TRAN;14/02/2011;14/02/2011;19;Mairinque / SP;101404;ZOOTECNICA;7225;0;01/08/2016;TORT2007;176016,77;64542,72;0;111474,05;1
101404;16;10140416;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;PLATAFORMA DE ACESSO E MATERIAIS DE INST;15/02/2011;15/02/2011;19;Mairinque / SP;101404;ZOOTECNICA;7225;0;01/08/2016;TORT2007;204744,9;75076,98;0;129667,92;1
101404;2;1014042;INSTALA«√O;1014042;135012302;1.3.5.01.23;1.3.5.02.23;MAQS.EQUIPS.INC. LEI 11051/04-PR;SISTEMA DE TRANSPORTE PNEUMATICO (PARTE);19/10/2010;19/10/2010;19;Mairinque / SP;101404;ZOOTECNICA;7225;0;01/08/2016;TORT2007;136800,6;55657,17;0;81143,43;1
101404;25;10140425;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;PAINEL ELETRICO DE CONTROLE / POTENCIA;11/03/2011;11/03/2011;19;Mairinque / SP;101404;ZOOTECNICA;7225;0;01/08/2016;TORT2007;126312,55;45615,05;0;80697,5;1
101404;27;10140427;INSTALA«√O;10140427;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;SISTEMA DE TRANSPORTE PNEUMATICO;16/03/2011;16/03/2011;19;Mairinque / SP;101404;ZOOTECNICA;7225;0;01/08/2016;TORT2007;67488,3;24371,75;0;43116,55;1
101404;28;10140428;INSTALA«√O;10140428;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;SISTEMA DE TRANSPORTE PNEUMATICO;18/03/2011;18/03/2011;19;Mairinque / SP;101404;ZOOTECNICA;7225;0;01/08/2016;TORT2007;36480,16;13174,2;0;23305,96;1
101404;29;10140429;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;CONJUNTO DE MATERIAIS MECANICOS P/INSTAL;24/03/2011;24/03/2011;19;Mairinque / SP;101404;ZOOTECNICA;7225;0;01/08/2016;TORT2007;7296,03;2635,1;0;4660,93;1
101404;3;1014043;INSTALA«√O;1014043;135012302;1.3.5.01.23;1.3.5.02.23;MAQS.EQUIPS.INC. LEI 11051/04-PR;SISTEMA DE TRANSPORTE PNEUMATICO (PARTE);19/10/2010;19/10/2010;19;Mairinque / SP;101404;ZOOTECNICA;7225;0;01/08/2016;TORT2007;91200,4;37104,56;0;54095,84;1
101404;30;10140430;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;INSTALACAO  SISTEMA DE TRANSPORTE PNEUMA;01/04/2011;01/04/2011;19;Mairinque / SP;101404;ZOOTECNICA;7225;0;01/08/2016;TORT2007;1824,01;648,32;0;1175,69;1
101404;32;10140432;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;PLATAFORMA DE ACESSO / FILTRO MODU KLEEN;01/04/2011;01/04/2011;19;Mairinque / SP;101404;ZOOTECNICA;7225;0;01/08/2016;TORT2007;5928,03;2108,16;0;3819,87;1
101404;37;10140437;INSTALA«√O;10140437;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;SISTEMA DE TRANSPORTE PNEUMATICO;06/05/2011;06/05/2011;19;Mairinque / SP;101404;ZOOTECNICA;7225;0;01/08/2016;TORT2007;15048,07;5266,8;0;9781,27;1
101404;38;10140438;INSTALA«√O;10140438;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;SISTEMA DE TRANSPORTE PNEUMATICO;01/05/2011;01/05/2011;19;Mairinque / SP;;ZOOTECNICA;7225;0;01/08/2016;TORT2007;7296,03;2554,02;0;4742,01;1
101404;39;10140439;INSTALA«√O;10140439;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;SISTEMA DE TRANSPORTE PNEUMATICO.;01/06/2011;01/06/2011;19;Mairinque / SP;;ZOOTECNICA;7225;0;01/08/2016;TORT2007;77520,34;26702,78;0;50817,56;1
101404;4;1014044;INSTALA«√O;1014044;135012302;1.3.5.01.23;1.3.5.02.23;MAQS.EQUIPS.INC. LEI 11051/04-PR;SISTEMA DE TRANSPORTE PNEUMATICO (PARTE);19/10/2010;19/10/2010;19;Mairinque / SP;101404;ZOOTECNICA;7225;0;01/08/2016;TORT2007;22800,1;9275,97;0;13524,13;1
101404;40;10140440;INSTALA«√O;10140440;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;SISTEMA DE TRANSPORTE PNEUMATICO.;01/06/2011;01/06/2011;19;Mairinque / SP;;ZOOTECNICA;7225;0;01/08/2016;TORT2007;11856,05;4083,94;0;7772,11;1
101404;41;10140441;INSTALA«√O;10140441;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;SISTEMA DE TRANSPORTE PNEUMATICO.;01/06/2011;01/06/2011;19;Mairinque / SP;;ZOOTECNICA;7225;0;01/08/2016;TORT2007;2736,01;942,4;0;1793,61;1
101404;42;10140442;INSTALA«√O;10140442;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;SISTEMA DE TRANSPORTE PNEUMATICO.;01/06/2011;01/06/2011;19;Mairinque / SP;;ZOOTECNICA;7225;0;01/08/2016;TORT2007;28725,39;9894,58;0;18830,81;1
101404;43;10140443;INSTALA«√O;10140443;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;SISTEMA DE TRANSPORTE PNEUMATICO.;01/06/2011;01/06/2011;19;Mairinque / SP;;ZOOTECNICA;7225;0;01/08/2016;TORT2007;10032,04;3455,88;0;6576,16;1
101404;44;10140444;INSTALA«√O;10140444;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;SISTEMA DE TRANSPORTE PNEUMATICO.;01/07/2011;01/07/2011;19;Mairinque / SP;101404;ZOOTECNICA;7225;0;01/08/2016;TORT2007;500;169,58;0;330,42;1
101404;45;10140445;INSTALA«√O;10140445;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;SISTEMA DE TRANSPORTE PNEUMATICO;01/08/2011;01/08/2011;19;Mairinque / SP;;CARBOQU.FOSF;7224;0;01/08/2016;TORT2007;4560,02;1519,8;0;3040,22;1
101404;46;10140446;INSTALA«√O;10140446;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;SISTEMA DE TRANSPORTE PNEUMATICO;01/08/2011;01/08/2011;19;Mairinque / SP;;CARBOQU.FOSF;7224;0;01/08/2016;TORT2007;21620,23;7207,2;0;14413,03;1
101404;47;10140447;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;VALVULA ESFERA MONTADA;09/08/2011;09/08/2011;19;Mairinque / SP;;ZOOTECNICA;7225;0;01/08/2016;TORT2007;19747,2;6582,6;0;13164,6;1
101404;48;10140448;INSTALA«√O;10140448;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;SISTEMA DE TRANSPOTE PNEUMATICO;01/11/2011;01/11/2011;19;Mairinque / SP;;ZOOTECNICA;7225;0;01/08/2016;TORT2007;53582,06;16968,33;0;36613,73;1
101404;5;1014045;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;PLATAFORMA DE ACESSO, AC, INCL. ESCADA E;01/02/2011;01/02/2011;19;Mairinque / SP;?;ZOOTECNICA;7225;0;01/08/2016;TORT2007;45600,2;16721,1;0;28879,1;1
101404;52;10140452;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;VALVULA SOLEN;05/09/2013;05/09/2013;19;Mairinque / SP;101404;ZOOTECNICA;7225;0;01/08/2016;TORT2007;564,17;109,55;0;454,62;1
101404;53;10140453;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;VALVULA SOLEN;05/09/2013;05/09/2013;19;Mairinque / SP;101404;ZOOTECNICA;7225;0;01/08/2016;TORT2007;564,17;109,55;0;454,62;1
101404;56;10140456;INSTALA«√O;;135010602;1.3.5.01.06;1.3.5.02.05;INSTALACOES - PROD.;SERVICOS EFETUADOS NO MISTURADOR 4.;01/04/2011;01/04/2011;19;Mairinque / SP;;ZOOTECNICA;7225;0;01/08/2016;TORT2007;15747,73;5599,36;0;10148,37;1
101404;57;10140457;INSTALA«√O;;135010602;1.3.5.01.06;1.3.5.02.05;INSTALACOES - PROD.;DIVERSOS MATERIAIS UTILIZADOS NO SERVICO;01/04/2011;01/04/2011;19;Mairinque / SP;;ZOOTECNICA;7225;0;01/08/2016;TORT2007;5000;1777,92;0;3222,08;1
101404;58;10140458;INSTALA«√O;;135010602;1.3.5.01.06;1.3.5.02.05;INSTALACOES - PROD.;VIDROS LISO / PORTA DE ABRIR / MOLA;01/04/2011;01/04/2011;19;Mairinque / SP;;ZOOTECNICA;7225;0;01/08/2016;TORT2007;2190;778,88;0;1411,12;1
101404;6;1014046;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;PLATAFORMA DE ACESSO, AC, INCL. ESCADA E;01/02/2011;01/02/2011;19;Mairinque / SP;?;ZOOTECNICA;7225;0;01/08/2016;TORT2007;18240,08;6688,44;0;11551,64;1
101404;7;1014047;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;PLATAFORMA DE ACESSO, AC, INCL. ESCADA E;01/02/2011;01/02/2011;19;Mairinque / SP;?;ZOOTECNICA;7225;0;01/08/2016;TORT2007;18240,08;6688,44;0;11551,64;1
101404;8;1014048;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;PLATAFORMA DE ACESSO, AC, INCL. ESCADA E;01/02/2011;01/02/2011;19;Mairinque / SP;?;ZOOTECNICA;7225;0;01/08/2016;TORT2007;4560,02;1671,78;0;2888,24;1
101405;0;1014050;INSTALA«√O;;135012302;1.3.5.01.23;1.3.5.02.23;MAQS.EQUIPS.INC. LEI 11051/04-PR;PAINEL PARA SISTEMA DE TRANSPORTE PNEUMA;19/10/2010;19/10/2010;19;Mairinque / SP;101405;ZOOTECNICA;7225;0;01/08/2016;TORT2007;27360,12;17181,29;0;10178,83;1
101426;0;1014260;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;INVERSOR DE FREQUENCIA 27 AMPS 20HP ND,;10/11/2010;10/11/2010;19;Mairinque / SP;101426;ZOOTECNICA;7225;0;01/08/2016;TORT2007;3160,86;1977,79;0;1183,07;1
101479;0;1014790;INSTALA«√O;1014790;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;SISTEMA DE TRANSPORTE PNEUMATICO ZANUTO;02/02/2011;02/02/2011;19;Mairinque / SP;101479;ZOOTECNICA;7225;0;01/08/2016;TORT2007;35111,69;12874,62;0;22237,07;1
101532;0;1015320;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;INVERSOR DE FREQUENCIA POWERFLEX 4M;01/04/2011;01/04/2011;19;Mairinque / SP;101532;HIDROXIDO DE;7223;0;01/08/2016;TORT2007;676,17;240,64;0;435,53;1
101533;0;1015330;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;INVERSOR DE FREQUENCIA POWERFLEX 4M;01/04/2011;01/04/2011;19;Mairinque / SP;101533;ZOOTECNICA;7225;0;01/08/2016;TORT2007;676,17;240,64;0;435,53;1
101581;0;1015810;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;INVERSOR DE FREQUENCIA 37 AMP;26/08/2011;26/08/2011;19;Mairinque / SP;101581;HIDROXIDO DE;7223;0;01/08/2016;TORT2007;3450;1150,2;0;2299,8;1
101583;0;1015830;INSTALA«√O;1015830;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;FONTE DE ALIMENTACAO 110/200VAC;26/08/2011;26/08/2011;19;Mairinque / SP;101583;MANUTENCAO;7231;0;01/08/2016;TORT2007;1186,65;395,4;0;791,25;1
101626;1;1016261;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;INSTALACAO DE CARIMBADEIRA CASECODER;22/08/2011;22/08/2011;19;Mairinque / SP;;ZOOTECNICA;7225;0;01/08/2016;TORT2007;250;83,4;0;166,6;1
101627;1;1016271;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;INSTALACAO DE CARIMBADEIRA CASECODER;22/08/2011;22/08/2011;19;Mairinque / SP;;ZOOTECNICA;7225;0;01/08/2016;TORT2007;250;83,4;0;166,6;1
101627;2;1016272;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;BICO 32 MM CC (REDONDO/ABERTA);01/12/2011;01/12/2011;19;Mairinque / SP;;ZOOTECNICA;7225;0;01/08/2016;TORT2007;7445,96;2316,72;0;5129,24;1
101645;0;1016450;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;INVERSOR DE FREQUENCIA 65 AMPS;14/07/2011;14/07/2011;19;Mairinque / SP;101645;CARBOQU.FOSF;7224;0;01/08/2016;TORT2007;6907,54;2341,18;0;4566,36;1
101667;0;1016670;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;DISJUNTOR FIXO MANUAL;21/11/2011;21/11/2011;19;Mairinque / SP;101667;GERENCIA FAB;7200;0;01/08/2016;TORT2007;10915,91;3457,05;0;7458,86;1
101668;0;1016680;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;DISJUNTOR BEGHIM DM1 1600A;25/11/2011;25/11/2011;19;Mairinque / SP;101668;GERENCIA FAB;7200;0;01/08/2016;TORT2007;8700;2755,38;0;5944,62;1
101673;2;1016732;INSTALA«√O;;135010802;1.3.5.01.08;1.3.5.02.07;MAQUINAS E ACESSORIOS - PROD.;INSTALACAO E MONTAGEM DE BALANCA;01/01/2012;01/01/2012;19;Mairinque / SP;;ALMOXARIFADO;1163;0;01/08/2016;TORT2007;7706;2354,55;0;5351,45;1
101676;0;1016760;INSTALA«√O;;135010802;1.3.5.01.08;1.3.5.02.07;MAQUINAS E ACESSORIOS - PROD.;CHAVE DE IMPACTO 220 V;14/12/2011;14/12/2011;19;Mairinque / SP;101676;MANUTENCAO;7231;0;01/08/2016;TORT2007;785,65;244,16;0;541,49;1
101714;0;1017140;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;VALVULA GLOBO MOD. BSA 2'' PN16;01/09/2011;01/09/2011;19;Mairinque / SP;101714;POLIVITAMINI;7222;0;01/08/2016;TORT2007;1129,3;369,93;0;759,37;1
101717;0;1017170;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;INVERSOR DE FREQUENCIA 15 AMPS 10 HP ND;03/10/2011;03/10/2011;19;Mairinque / SP;101717;ZOOTECNICA;7225;0;01/08/2016;TORT2007;2207,12;711,08;0;1496,04;1
102004;0;1020040;INSTALA«√O;;135010802;1.3.5.01.08;1.3.5.02.07;MAQUINAS E ACESSORIOS - PROD.;PAINEL DE COMANDO, C/ 07 LAMPADAS PILOTO;30/06/1990;30/06/1990;19;Mairinque / SP;102004;MAIRINQUE;7222;0;01/01/2011;TORT2007;2102,46;2102,46;0;0;1
102018;0;1020180;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;VALVULA DESVIADORA DE 02 VIAS DO SISTEMA;11/08/2003;11/08/2003;19;Mairinque / SP;102018;MAIRINQUE;7222;0;01/01/2014;TORT2007;15086,64;15086,64;0;0;1
102022;0;1020220;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;VALVULA DESVIADORA, FAB. GARCIA, MOD. VD;30/06/2000;30/06/2000;19;Mairinque / SP;102022;MAIRINQUE;7222;0;01/02/2012;TORT2007;10534,21;10534,21;0;0;1
102028;5;1020285;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;INVERSOR DE FREQU NCIA CFW080040T3848POA;10/06/2013;10/06/2013;19;Mairinque / SP;102028;POLIVITAMINI;7222;0;01/08/2016;TORT2007;1357,6;286,52;0;1071,08;1
102029;0;1020290;INSTALA«√O;;135010802;1.3.5.01.08;1.3.5.02.07;MAQUINAS E ACESSORIOS - PROD.;PAINEL DE COMANDO, FAB. MONTPEL, C/ 01 L;30/06/1999;30/06/1999;19;Mairinque / SP;102029;MAIRINQUE;7222;0;01/03/2015;TORT2007;52561,73;52561,73;0;0;1
102033;0;1020330;INSTALA«√O;;135010802;1.3.5.01.08;1.3.5.02.07;MAQUINAS E ACESSORIOS - PROD.;PAINEL DE COMANDO, C/ 01 LAMPADA PILOTO,;30/06/1999;30/06/1999;19;Mairinque / SP;102033;MAIRINQUE;7222;0;01/03/2015;TORT2007;8409,87;8409,87;0;0;1
102034;0;1020340;INSTALA«√O;;135010802;1.3.5.01.08;1.3.5.02.07;MAQUINAS E ACESSORIOS - PROD.;PAINEL DE COMANDO, C/ 01 LAMPADA PILOTO,;30/06/1999;30/06/1999;19;Mairinque / SP;102034;MAIRINQUE;7222;0;01/03/2015;TORT2007;8409,87;8409,87;0;0;1
102044;5;1020445;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;PAINEL ELëTRICO P/ NOVO MOINHO;01/03/2006;01/03/2006;19;Mairinque / SP;102044;INDUSTRIA;7222;0;01/08/2016;TORT2007;20670,1;19841,05;0;829,05;1
102044;6;1020446;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;PAINEL ELëTRICO P/ NOVO MOINHO;01/03/2006;01/03/2006;19;Mairinque / SP;102044;INDUSTRIA;7222;0;01/08/2016;TORT2007;20670,1;19841,05;0;829,05;1
102057;0;1020570;INSTALA«√O;;135010402;1.3.5.01.04;1.3.5.02.03;EQUIPAMENTOS - PROD;VALVULA DESVIADORA DE MISTURA, FAB. GARC;30/06/2000;30/06/2000;19;Mairinque / SP;102057;POLIVITAMINI;7222;0;01/01/2012;TORT2007;12386,86;12386,86;0;0;1
